algorithm;filename;num_vertex;min_path;milisec;cost
CheapestInsertion;data/FIS7-4.txt;7;6,3,1,4,2,5,0;0;26358
CheapestInsertion;data/FIS8-0.txt;8;1,6,4,7,0,3,5,2;0;19668
CheapestInsertion;data/FIS8-1.txt;8;7,0,3,6,5,4,2,1;0;17845
CheapestInsertion;data/FIS8-2.txt;8;0,4,2,7,5,6,1,3;0;12652
CheapestInsertion;data/FIS8-3.txt;8;2,1,4,3,0,6,7,5;0;15018
CheapestInsertion;data/FIS8-4.txt;8;3,1,2,4,6,5,0,7;0;19030
CheapestInsertion;data/FIS9-0.txt;9;0,4,5,6,1,3,2,7,8;1;19211
CheapestInsertion;data/FIS9-1.txt;9;7,1,6,0,3,2,5,4,8;1;25376
CheapestInsertion;data/FIS9-2.txt;9;5,8,6,4,3,2,1,0,7;1;29485
CheapestInsertion;data/FIS9-3.txt;9;8,2,7,0,1,3,5,6,4;1;17895
CheapestInsertion;data/FIS9-4.txt;9;1,3,8,6,7,2,5,0,4;1;20505
CheapestInsertion;data/FIS10-0.txt;10;0,1,7,6,8,2,4,5,9,3;2;17971
CheapestInsertion;data/FIS10-1.txt;10;0,4,2,5,3,8,6,9,1,7;2;20856
CheapestInsertion;data/FIS10-2.txt;10;2,3,0,1,5,7,9,8,4,6;2;22022
CheapestInsertion;data/FIS10-3.txt;10;1,7,6,8,0,2,4,3,9,5;2;14404
CheapestInsertion;data/FIS10-4.txt;10;4,0,6,3,8,7,5,2,1,9;2;16354
CheapestInsertion;data/FIS11-0.txt;11;1,6,8,10,2,0,4,3,7,5,9;3;21645
CheapestInsertion;data/FIS11-1.txt;11;10,8,4,5,1,2,0,7,3,9,6;3;22379
CheapestInsertion;data/FIS11-2.txt;11;7,10,0,9,6,4,8,2,5,1,3;3;24700
CheapestInsertion;data/FIS11-3.txt;11;3,6,7,5,2,1,8,10,0,9,4;3;26983
CheapestInsertion;data/FIS11-4.txt;11;2,1,0,4,6,9,8,10,7,5,3;3;20913
CheapestInsertion;data/FIS12-0.txt;12;8,7,5,6,2,3,10,4,0,1,9,11;5;26065
CheapestInsertion;data/FIS12-1.txt;12;5,7,8,10,2,3,0,1,4,6,11,9;5;25110
CheapestInsertion;data/FIS12-2.txt;12;7,9,0,6,2,8,5,3,4,1,11,10;5;30444
CheapestInsertion;data/FIS12-3.txt;12;11,8,3,1,2,4,7,5,9,10,6,0;5;20401
CheapestInsertion;data/FIS12-4.txt;12;4,5,6,10,7,1,3,9,8,2,0,11;5;26725
CheapestInsertion;data/FIS13-0.txt;13;7,5,6,1,9,2,8,0,3,10,4,12,11;7;21813
CheapestInsertion;data/FIS13-1.txt;13;8,3,5,11,6,12,4,9,2,0,1,7,10;7;29766
CheapestInsertion;data/FIS13-2.txt;13;12,3,4,8,9,10,6,0,1,2,7,5,11;7;22463
CheapestInsertion;data/FIS13-3.txt;13;4,1,12,6,3,2,7,11,9,5,8,0,10;7;16817
CheapestInsertion;data/FIS13-4.txt;13;10,6,4,1,3,0,2,8,5,9,11,12,7;7;21987
CheapestInsertion;data/FIS14-0.txt;14;13,10,7,3,2,12,9,8,5,6,4,0,11,1;10;24841
CheapestInsertion;data/FIS14-1.txt;14;6,8,12,9,10,1,3,11,2,5,0,13,4,7;11;37363
CheapestInsertion;data/FIS14-2.txt;14;2,5,10,8,11,13,9,3,1,0,4,12,7,6;11;29551
CheapestInsertion;data/FIS14-3.txt;14;5,7,4,3,2,6,8,1,13,12,9,11,10,0;11;27974
CheapestInsertion;data/FIS14-4.txt;14;1,13,2,5,7,9,10,11,6,4,3,0,8,12;10;28989
CheapestInsertion;data/FIS15-0.txt;15;1,5,10,13,2,8,0,6,12,9,14,7,11,3,4;13;29403
CheapestInsertion;data/FIS15-1.txt;15;4,8,10,11,14,13,5,2,3,0,6,1,12,9,7;13;27863
CheapestInsertion;data/FIS15-2.txt;15;4,11,0,5,9,7,10,8,1,6,2,3,14,13,12;12;29217
CheapestInsertion;data/FIS15-3.txt;15;9,8,5,4,12,6,2,14,3,7,10,13,0,11,1;14;27836
CheapestInsertion;data/FIS15-4.txt;15;8,5,9,6,10,0,11,14,3,13,1,7,2,12,4;14;26690
CheapestInsertion;data/FIS16-0.txt;16;9,5,7,4,1,10,15,11,12,3,6,8,13,2,0,14;18;25002
CheapestInsertion;data/FIS16-1.txt;16;2,4,15,7,9,0,3,6,5,8,14,10,12,11,13,1;18;21036
CheapestInsertion;data/FIS16-2.txt;16;0,10,2,14,12,13,7,5,15,9,3,6,11,8,1,4;18;29514
CheapestInsertion;data/FIS16-3.txt;16;13,11,12,3,6,9,8,14,10,15,4,2,0,1,5,7;18;29828
CheapestInsertion;data/FIS16-4.txt;16;9,15,3,8,5,11,13,14,12,4,7,6,10,1,2,0;18;27344
CheapestInsertion;data/FIS17-0.txt;17;9,15,13,16,14,2,6,7,10,5,3,0,1,11,12,8,4;22;31311
CheapestInsertion;data/FIS17-1.txt;17;13,16,8,12,4,3,6,14,2,10,5,11,9,7,0,15,1;23;29711
CheapestInsertion;data/FIS17-2.txt;17;5,4,2,11,15,16,3,12,0,13,9,14,10,8,6,1,7;22;24006
CheapestInsertion;data/FIS17-3.txt;17;4,13,7,15,10,3,0,2,14,16,6,12,8,9,1,5,11;23;28285
CheapestInsertion;data/FIS17-4.txt;17;8,7,14,11,16,1,13,0,6,12,9,15,2,10,4,5,3;17;29787
CheapestInsertion;data/FIS18-0.txt;18;10,16,12,17,11,1,6,0,9,3,8,5,14,2,13,4,7,15;26;26544
CheapestInsertion;data/FIS18-1.txt;18;7,16,13,17,4,2,14,3,15,5,9,10,11,12,1,8,0,6;25;30291
CheapestInsertion;data/FIS18-2.txt;18;2,7,3,13,14,10,6,1,16,9,17,5,8,11,12,15,4,0;24;29803
CheapestInsertion;data/FIS18-3.txt;18;17,10,14,1,11,2,12,8,16,3,0,5,9,15,7,13,6,4;26;34483
CheapestInsertion;data/FIS18-4.txt;18;0,5,9,8,15,17,2,14,1,4,7,16,12,13,10,3,11,6;24;32124
CheapestInsertion;data/FIS19-0.txt;19;15,13,8,6,4,0,16,9,17,18,14,7,12,3,11,2,1,5,10;32;28321
CheapestInsertion;data/FIS19-1.txt;19;2,1,4,11,5,14,8,9,3,13,6,18,16,15,12,0,10,17,7;36;30663
CheapestInsertion;data/FIS19-2.txt;19;18,10,2,3,0,6,12,15,13,17,5,7,1,4,8,11,9,14,16;35;29197
CheapestInsertion;data/FIS19-3.txt;19;10,7,12,17,5,6,1,18,8,16,2,15,0,9,13,11,14,3,4;34;28554
CheapestInsertion;data/FIS19-4.txt;19;10,13,17,14,16,11,0,9,6,15,18,1,2,3,12,8,4,5,7;36;31922
CheapestInsertion;data/FIS20-0.txt;20;7,8,5,6,4,2,16,10,17,12,15,1,13,0,11,3,14,9,18,19;45;31791
CheapestInsertion;data/FIS20-1.txt;20;11,17,9,15,0,8,2,16,12,19,18,6,3,7,5,13,10,1,14,4;43;36416
CheapestInsertion;data/FIS20-2.txt;20;5,15,10,19,9,16,4,1,12,8,18,14,2,7,0,6,13,11,17,3;39;40073
CheapestInsertion;data/FIS20-3.txt;20;11,7,16,13,17,19,18,10,6,8,5,14,15,4,0,1,3,12,9,2;46;34487
CheapestInsertion;data/FIS20-4.txt;20;9,11,5,2,1,15,14,18,7,4,6,8,19,0,10,16,12,17,3,13;46;30050
CheapestInsertion;data/FIS21-0.txt;21;2,15,20,19,11,13,1,6,0,16,12,17,9,4,3,8,18,14,10,5,7;54;29140
CheapestInsertion;data/FIS21-1.txt;21;12,9,6,0,5,2,15,11,20,17,13,7,18,8,1,4,3,10,16,14,19;56;30525
